item_id,category
eastern-screech-owl,Species
fish-crow,Bird
fish-crow,Species
forster's-tern,Bird
forster's-tern,NC Management Concern
forster's-tern,NC SGCN
forster's-tern,Species
golden-crowned-kinglet,Bird
golden-crowned-kinglet,NC Knowledge Concern
golden-crowned-kinglet,Species
golden-winged-warbler,Bird
golden-winged-warbler,NC SGCN
golden-winged-warbler,Species
gray-catbird,Bird
gray-catbird,Species
great-blue-heron,Bird
great-blue-heron,NC Management Concern
great-blue-heron,Species
great-horned-owl,Bird
great-horned-owl,Species
henslow's-sparrow,Bird
henslow's-sparrow,NC SGCN
henslow's-sparrow,Species
hermit-thrush,Bird
hermit-thrush,NC Knowledge Concern
hermit-thrush,NC SGCN
hermit-thrush,Species
herring-gull,Bird
herring-gull,NC Management Concern
herring-gull,NC SGCN
herring-gull,Species
hooded-warbler,Bird
hooded-warbler,Species
horned-lark,Bird
horned-lark,Species
indigo-bunting,Bird
indigo-bunting,Species
ivory-billed-woodpecker,Bird
ivory-billed-woodpecker,Species
kentucky-warbler,Bird
kentucky-warbler,NC SGCN
kentucky-warbler,Species
king-rail,Bird
king-rail,NC Knowledge Concern
king-rail,NC SGCN
king-rail,Species
lark-sparrow,Bird
lark-sparrow,Species
least-sandpiper,Bird
least-sandpiper,Species
least-tern,Bird
least-tern,NC Management Concern
least-tern,NC SGCN
least-tern,Species
lesser-scaup,Bird
lesser-scaup,NC Management Concern
lesser-scaup,Species
lesser-yellowlegs,Bird
lesser-yellowlegs,NC Knowledge Concern
lesser-yellowlegs,Species
lincoln's-sparrow,Bird
lincoln's-sparrow,NC SGCN
lincoln's-sparrow,Species
little-blue-heron,Bird
little-blue-heron,NC Management Concern
little-blue-heron,NC SGCN
little-blue-heron,Species
long-billed-dowitcher,Bird
long-billed-dowitcher,NC Knowledge Concern
long-billed-dowitcher,NC Management Concern
long-billed-dowitcher,Species
merlin,Bird
merlin,NC SGCN
merlin,Species
mississippi-kite,Bird
mississippi-kite,NC Knowledge Concern
mississippi-kite,Species
nashville-warbler,Bird
nashville-warbler,NC SGCN
nashville-warbler,Species
nelson's-sparrow,Bird
nelson's-sparrow,NC Knowledge Concern
nelson's-sparrow,NC SGCN
nelson's-sparrow,Species
northern-mockingbird,Bird
northern-mockingbird,Species
northern-rough-winged-swallow,Bird
northern-rough-winged-swallow,Species
northern-shoveler,Bird
northern-shoveler,NC Management Concern
northern-shoveler,Species
olive-sided-flycatcher,Bird
olive-sided-flycatcher,NC Knowledge Concern
olive-sided-flycatcher,NC SGCN
olive-sided-flycatcher,Species
